time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
180,0.17,0.89,33.37,27.45,0.03
290,0.16,0.88,33.37,27.45,0.02
320,0.17,0.88,33.37,27.45,0.02
430,0.29,0.9,33.37,27.46,0.03
450,0.26,0.9,33.37,27.46,0.03
830,0.23,0.86,33.38,27.46,0.03
910,0.3,0.87,33.38,27.46,0.03
920,0.22,0.85,33.38,27.46,0.03
970,0.24,0.86,33.38,27.46,0.03
1070,0.25,0.87,33.38,27.46,0.03
1110,0.23,0.87,33.38,27.47,0.04
1180,0.27,0.88,33.38,27.47,0.04
1210,0.35,0.89,33.38,27.47,0.03
1280,0.3,0.91,33.38,27.47,0.04
1370,0.25,0.89,33.38,27.47,0.03
1430,0.24,0.9,33.38,27.47,0.03
1460,0.21,0.88,33.39,27.47,0.02
1470,0.25,0.88,33.39,27.47,0.02
1480,0.25,0.88,33.39,27.47,0.02
1490,0.24,0.88,33.39,27.47,0.02
1510,0.3,0.89,33.39,27.47,0.03
1690,0.29,0.91,33.39,27.47,0.04
1790,0.23,0.91,33.39,27.47,0.03
1880,0.24,0.91,33.39,27.47,0.03
1910,0.26,0.9,33.39,27.48,0.03
2100,0.18,0.88,33.39,27.48,0.03
2160,0.15,0.88,33.39,27.48,0.03
2190,0.14,0.87,33.39,27.48,0.03
2370,0.19,0.88,33.39,27.48,0.03
2380,0.18,0.88,33.39,27.48,0.03
2490,0.19,0.9,33.4,27.48,0.03
2610,0.31,0.91,33.4,27.48,0.03
2660,0.32,0.89,33.4,27.48,0.03
2690,0.27,0.89,33.4,27.48,0.03
2830,0.33,0.89,33.4,27.49,0.03
2890,0.37,0.9,33.4,27.49,0.03
3020,0.29,0.9,33.4,27.49,0.04
3100,0.24,0.91,33.4,27.49,0.03
3190,0.2,0.9,33.41,27.49,0.03
3240,0.17,0.89,33.41,27.49,0.03
3270,0.18,0.9,33.41,27.49,0.03
3450,0.17,0.91,33.41,27.49,0.02
3490,0.19,0.91,33.41,27.49,0.02
3530,0.17,0.91,33.41,27.49,0.02
3550,0.17,0.91,33.41,27.49,0.03
3600,0.17,0.91,33.41,27.49,0.03
3770,0.23,0.94,33.41,27.49,0.03
4000,0.23,0.92,33.41,27.5,0.03
4040,0.21,0.92,33.41,27.5,0.03
4120,0.18,0.91,33.41,27.5,0.03
11470,0.23,0.81,33.52,27.59,0.03
11500,0.17,0.8,33.52,27.59,0.03
11590,0.21,0.82,33.53,27.59,0.04
11600,0.23,0.83,33.53,27.59,0.04
11660,0.24,0.8,33.53,27.59,0.03
11820,0.23,0.79,33.53,27.59,0.04
11870,0.23,0.79,33.53,27.59,0.04
11930,0.19,0.78,33.53,27.59,0.04
11960,0.23,0.8,33.53,27.59,0.03
12080,0.23,0.79,33.53,27.59,0.02
12190,0.26,0.79,33.54,27.59,0.03
12500,0.29,0.84,33.54,27.6,0.03
12510,0.35,0.84,33.54,27.6,0.03
12650,0.31,0.84,33.54,27.6,0.04
12680,0.31,0.84,33.54,27.6,0.04
12700,0.27,0.84,33.54,27.6,0.04
12810,0.21,0.8,33.55,27.6,0.04
12900,0.18,0.8,33.55,27.6,0.03
12960,0.18,0.8,33.55,27.6,0.04
13140,0.23,0.79,33.55,27.6,0.04
13380,0.25,0.81,33.55,27.61,0.03
13420,0.22,0.82,33.55,27.61,0.03
13430,0.24,0.83,33.55,27.61,0.03
13490,0.25,0.83,33.55,27.61,0.03
13510,0.25,0.83,33.55,27.61,0.05
13570,0.25,0.81,33.55,27.61,0.03
13650,0.23,0.81,33.55,27.61,0.06
13980,0.24,0.84,33.56,27.61,0.04
14140,0.23,0.82,33.56,27.61,0.05
14410,0.37,0.85,33.57,27.62,0.03
14560,0.19,0.83,33.57,27.62,0.05
14570,0.19,0.83,33.57,27.62,0.05
14710,0.33,0.82,33.57,27.62,0.1
14800,0.27,0.83,33.58,27.62,0.08
14850,0.27,0.83,33.58,27.62,0.05
14910,0.23,0.81,33.58,27.62,0.04
15070,0.27,0.82,33.58,27.62,0.05
15080,0.27,0.83,33.58,27.62,0.05
15120,0.29,0.82,33.58,27.62,0.04
15190,0.34,0.84,33.58,27.63,0.04
15230,0.27,0.83,33.58,27.63,0.04
15280,0.29,0.83,33.58,27.63,0.04
15390,0.25,0.82,33.59,27.63,0.04
15490,0.23,0.81,33.59,27.63,0.04
15600,0.21,0.81,33.59,27.63,0.04
15910,0.24,0.85,33.59,27.64,0.03
15950,0.2,0.85,33.59,27.64,0.03
16040,0.19,0.81,33.6,27.64,0.04
16130,0.23,0.82,33.6,27.64,0.04
16260,0.26,0.84,33.6,27.64,0.04
16280,0.24,0.83,33.6,27.64,0.04
16330,0.3,0.82,33.6,27.64,0.04
16520,0.18,0.82,33.6,27.64,0.03
16600,0.19,0.82,33.6,27.64,0.03
16680,0.2,0.84,33.6,27.64,0.04
16850,0.23,0.83,33.61,27.64,0.03
19020,0.23,0.86,33.64,27.67,0.03
19330,0.2,0.85,33.64,27.67,0.03
19410,0.21,0.85,33.64,27.67,0.03
19680,0.39,0.85,33.65,27.68,0.04
19750,0.34,0.85,33.65,27.68,0.05
19820,0.26,0.84,33.65,27.68,0.05
19950,0.52,0.9,33.65,27.68,0.05
19980,0.43,0.88,33.65,27.68,0.09
20040,0.38,0.88,33.66,27.68,0.11
20360,0.58,0.9,33.67,27.69,0.11
20620,0.46,0.91,33.67,27.69,0.14
20630,0.44,0.9,33.67,27.69,0.14
21010,0.45,0.9,33.68,27.7,0.11
21180,0.32,0.89,33.68,27.7,0.06
21230,0.32,0.88,33.68,27.7,0.06
21350,0.35,0.89,33.69,27.7,0.06
21550,0.32,0.89,33.69,27.71,0.05
21560,0.35,0.89,33.69,27.71,0.05
21680,0.41,0.91,33.69,27.71,0.03
21740,0.41,0.9,33.69,27.71,0.04
21830,0.48,0.9,33.7,27.71,0.05
21990,0.48,0.92,33.7,27.71,0.1
